Section,Status,Content Complexity,"Section Heading (Must be in UPPERCASE, UNDERLINED BLACK FONT)",Sub-section,Required or Optional? (can the section be omitted if not relevant to the protocol),Section Instructions (HIGHLIGHTED in template),"Required Text (BLACK in template) Sections requiring study-specific content are noted with {{ }}, with more details noted in the Section Instructions column.","Suggested Text Output (BLUE FONT IN TEMPLATE) -should align with suggested text as much as possible, with study-specific modifications to language.",Questions from project team,Minimal Risk Template Mapping,Mapping to UHN Protocol Template Section,Mapping to sponsor protocol template,Build Plan/Key Decisions,Notes
13.1,Not Started,"[""Moderate mapping complexity"",""Not in protocol - requires manual entry""]",SAMPLE COLLECTION , Tissue Collection,"Optional, include if relevant","Describe the method of tissue sample collection and associated risks.  Specify the location and purpose.

Explain whether a previously obtained sample will be used for this study. If applicable, explain whether they may still participate if a sample is not available or whether a fresh tissue sample will then be required.

If archived specimens are required from another institution, indicate this. Ensure that the consent form signature indicates consent to obtain the sample and related personal health information from that institution. 

If a fresh tissue sample is required, indicate the amount and the tissue type. Explain in lay language whether this will be done using a local or general anesthetic and whether an overnight hospital stay may be required.

Identify location where specimens will be retained. ",N/A - see suggested text,"A small sample of your tissue that has already been removed by a previous surgery or biopsy will be obtained by the researchers doing this study. No further surgeries or biopsies are required of you for this purpose. <If applicable, explain whether they may still participate if sample is not available, or if a fresh tissue sample will be required - see below>

<If archived specimen are required from another instituion>
If your biopsy or surgery were completed at another institution, signing this consent form means that you are consenting to the collection of your tissue sample, together with any related personal health information, from that institution.

<If no further biopsy is required:> No further surgeries or biopsies are required of you for this purpose.

<<If a fresh tissue sample is required. >>
As part of this study, you will have a tissue biopsy. A tissue biopsy is a type of surgical procedure, which will a pea size piece of your liver. 

These tissue samples will be sent to a laboratory at {{insert location (city and country only)}} where they will be examined. 
",,Different instructions and suggested text,"Study Design OR Study Intervention OR Study table OR Table of Assessments 
 
Background -> Potential Risks 

Ethics->Data Handling and Record Keeping ","Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments 

Potentially not found in protocol 

Regulatory, ethical and study oversight considerations ",,
13.2,Not Started,"[""Moderate mapping complexity""]",SAMPLE COLLECTION ,How will samples be identified?,"Optional, include if samples will be collected.","Specify which identifiers will be on the sample(s).  If additional personal information is also being provided to the laboratory (e.g., on additional forms provided with the review materials), include a description of the information provided. ",N/A - see suggested text,"To protect your identity, the information that will be on your samples will be limited to {{specify identifiers on sample}}. 

<If additional personal information is also being provided to the lab, include a description>
The laboratory will also receive information containing your {{other identifiers}}. ",,Different instructions and suggested text,Ethics->Data Handling and Record Keeping ,"Regulatory, ethical and study oversight considerations ",,
13.3,Not Started,"[""Easy mapping complexity""]",SAMPLE COLLECTION ,Genetic Testing,"Optional, include if relevant","If the study includes genetic testing, include a statement noting the risk of discovering inheritable conditions or actionable genetic incidental findings during the course of the research. In general, these risks are not applicable to pharmacogenetic or pharmacogenomic testing of specific drugs or drug combinations. 

If there will be sequencing of a human germline or somatic specimen with the intent to generate the genome or exome sequence of that specimen, include the statement about whole genome sequencing. 

If applicable to target population (First Nations, Inuit, or Métis persons), also include the following statement: ""If you are a First Nations, Inuit, or Métis person who has contact with Elders, you may want to talk to them before you make a decision about this research study. Elders may have concerns about some research procedures including genetic testing.",N/A - see suggested text,"This study involves genetic testing.  Researchers will be looking at your genes (DNA).
Hereditary genetic testing (to look at whether {{specify condition}} runs in families) {{will not/will/may be}} done on these samples.  

<Include if applicable (i.e., sequencing of a human germline or somatic specimen with the intent to generate the genome or exome sequence of that specimen):>
The study {{will/may}} involve whole genome sequencing. Whole genome sequencing is the analysis of the complete set of genetic instructions in a cell. 

Every person has their own unique set of genes or “genome”. The reason this is important is because genetic results might contain information (for example, an inherited genetic disease) that could impact you or your biological (blood) relatives.  When you donate your genetic information or materials you are sharing information about yourself, and it can be used to identify these relatives.  

Even with protections in place, absolute confidentiality cannot be guaranteed. Advances in technology could also increase the risk that your genetic samples and results could be linked back to you or your relatives.  There is no way to predict what effects such an information loss would have. For example, if an insurer, a current or future employer, or law enforcement were to learn your genetic code it could result in loss of privacy and to possible future discrimination in employment or insurance against you or your relatives.  Even though this risk is unlikely, we think you should be aware. However, the only identifying information that will be present on the sample is your study number.
Due to the rapid pace of technological advances, the potential future use of genetic information is unknown and therefore the potential future risks also are unknown and there may be a risk that the genetic information in the samples could be linked back to you.

You will be {{given the choice/not given the choice}} to find out about genetics testing results.

<< If applicable to target population>> If you are a First Nations, Inuit, or Métis person who has contact with Elders, you may want to talk to them before you make a decision about this research study. Elders may have concerns about some research procedures including genetic testing.",,Same as minimal risk,Study Design OR Study Intervention OR Study table OR Table of Assessments  ,Study Design OR Study Intervention OR Assessments OR Study table OR Table of Assessments OR Genetic Testing/Research (sub-section) ,,
13.4,Not Started,"[""Moderate mapping complexity"",""Not in protocol - requires manual entry""]",SAMPLE COLLECTION ,Can I withdraw these samples?,"Optional, include if samples will be collected.","Describe the process for withdrawal of samples, and any limitations to the withdrawal. Idenfity the appropriate contact person. Describe what will happen to samples if participant withdraws consent. Describe any limits of withdrawal, if appliable (such as if the sampels are anonymized at a certain point). 

State whether or not the participant may continue to participate in the study, if they withdraw required samples.",N/A - see suggested text,"If you no longer want your samples to be used in this research, you should tell {{appropriate contact person}}, who will ensure the samples are returned to the hospital from which they were obtained or destroyed. 

<Describe any limits of the withdrawal, if applicable>
If tests have already been done on your sample(s) it will not be possible to withdraw those results. However, no further testing will be done. 

<If samples are to be anonymized at a certain point>
You can request withdrawal of your specimens until {{expected anonymization point}}, when the samples will be anonymized. “Anonymized” means the link between your personal identifying information and study ID/data will be deleted. After records linking your identity to your sample(s) are destroyed, it won’t be possible to return samples after this because the researchers will not know which sample is yours.",,Same as minimal risk,"Selection of Subjects -> Withdrawal 

Sections about contact person and advice on whether participant may continue in study after withdrawal are typically not in protocol ","Selection of Subjects -> Withdrawal
OR
Collection, storage, and use of samples

Sections about contact person and advice on whether participant may continue in study after withdrawal are typically not in protocol ",,
13.5,Not Started,"[""Easy mapping complexity""]",SAMPLE COLLECTION ,Optional Research,"Optional, include if relevant","Include if researchers are interested in doing additional optional research. State that there will be an additional optional study consent form for any optional additional research, and that participation in the additional research is not required. ",N/A - see suggested text,The Researchers doing this study are interested in doing additional optional research. You will be given an additional optional study consent form to read and sign if you wish to give permission for this. You may decide not to participate in the optional research and still participate in this main study.,,Not in Minimal Risk template,Study Design OR Table of Assessments ,Study Design OR Investigational Plan OR Table of Assessments ,,
13.6,Not Started,"[""Moderate mapping complexity""]",SAMPLE COLLECTION ,Summary of Tests and Procedures,"Optional, include if samples will be collected.","When the study involves a number of visits, e.g. more that 2-4, then provide a table with a summary of procedures, including the approximate time commitment (as applicable, based on the protocol).   ",N/A - see suggested text,See attachment for sample tables. ,,Slight differences to sample tables,Study Design AND/OR Study Intervention OR Table of Assessments,Study Design AND/OR Study Intervention OR Table of Assessments,,
14,Not Started,"[""Potentially in protocol""]",WHAT ARE THE RESPONSIBILITIES OF STUDY PARTICIPANTS?,N/A,"Optional, include if relevant",Identify participant responsibilities.,N/A - see suggested text,"If you choose to participate in this study, you will be expected to: 

<Include, add to, or modify bullets below as applicable>
- Tell the study doctor about your current medical conditions
- Tell the study doctor about all prescription and non-prescription medications and supplements, including vitamins and herbals, and check with the study doctor before starting, stopping or changing any of these. This is for your safety as these may interact with the intervention you receive on this study.  
- Tell the study doctor if you are thinking about participating in another research study 
- Return any unused study medication 
- Return any {{specify e.g., diaries or questionnaires}} that you take home to complete 
- Tell the study doctor if you become pregnant or father a child while participating on this study 
- Avoid drinking/eating {{specify what and for how long}}
- Stop taking {{name}} for {{specify washout period}}
- {{insert name of study intervention}} is for you alone, and must not be shared with others. {{If applicable, include:  If someone accidentally takes insert name of study intervention, include instructions e.g., they should immediately go to the nearest emergency department.}}
- Do not discuss with others any information you learn in the focus group.  This includes information about other group members and any opinions or comments that are shared. ",How is this indicated in the protocol?,Different suggested text,"Not always explicit in protocol - Context that would inform what's included is likely included in the Study Design 

Some responsibilities may be collected from protocol if related to pregnancy, contraception or breastfeeding or related to general restrictions about prohibited medications","Not always explicit in protocol - Context that would inform what's included is likely included in the Study Design 

Some responsibilities may be collected from protocol if related to pregnancy, contraception or breastfeeding or related to general restrictions about prohibited medications",,
15,Not Started,"[""Moderate mapping complexity""]",HOW LONG WILL PARTICIPANTS BE IN THE STUDY?,N/A,Required,"Specify the duration of research involvement, follow-up schedule, and total length of research involvement. Revise as applicable to the research.

If intervention length varies by group assignment, ensure this is specified.

Briefly describe follow-up visit schedule, as applicable. Specify location, time period, and follow-up schedule. 

If there is long-term follow-up as part of the study, define the period of time and purpose of long-term follow-up. Specify the follow-up method and frequency. ",N/A - see suggested text,"The study intervention will last for about {{insert duration}}. You will be asked to come back to the {{specify location}} {{specify time period}}. You will then be asked to come back {{describe follow-up schedule}}. 

You may be seen more often if the study doctor determines that this is necessary.

<If there is long-term follow-up as part of the study>
No matter which group you are randomized to, and even if you stop the study intervention early, we would like to keep track of your health for {{define period of time}} to {{describe purpose of long-term follow-up}}. We would do this by {{specify follow-up method and frequency}}. ",,Different instructions and suggested text,Study Design -> Expected Duration of Subject Participant OR Table of Assessments ,Study Design OR Investigational Plan OR Table of Assessments ,,
16,Not Started,"[""Moderate mapping complexity""]",CAN PARTICIPANTS CHOOSE TO LEAVE THE STUDY?,N/A,Required,"Insert information on the participant’s right to request the withdrawal of data, including any limitations on the feasibility of that withdrawal.

If the study site CONTINUES using the participants’ data after they have withdrawn from the study, it must be justified to the REB and explained to the participants; Canadian Guidelines (TCPS2) state that participants should be able to request that data and sample(s) be withdrawn unless withdrawal of data or samples may not be possible or is  impracticable.

For clinical trials with regulatory oversight, note that information recorded before withdrawal will still be used by the researchers to answer the research question, but no information will be collected after study withdrawal. 

If the participant can withdraw information collected prior to withdrawal, note that this can be requested through the study doctor.

For studies involving tissue/blood/body fluids, note that the participant has the right to request withdrawal of samples as applicable to the study. Otherwise, samples collected prior to withdrawal will be used for the purposes of the study. 

If this is a sponsored study, the participant should not be contacting the sponsor directly to withdraw.  The participant’s identifiable information should remain with the study site. The participant should only contact their study team to withdraw.  

Considering that, in many instances, participants discontinue participation after verbally telling their study doctor or participants cannot write in English, as a UHN REB requirement, written withdrawal from participants shall not be required. Thus, no language in this section shall imply otherwise. If the sponsor requires written notification of withdrawal, the study doctor may provide written notification to the sponsor.","You can choose to end your participation in this research (called withdrawal) at any time without having to provide a reason.  If you choose to withdraw from the study, you are encouraged to contact the research team.  ","You may be asked questions about your experience with the study intervention and to have laboratory tests and physical examinations considered necessary to safely stop your study involvement.

<For clinical trials with regulatory oversight>
If you leave the study, information that was recorded before you withdrew will still be used by the researchers in order to answer the research question, but no information will be collected without your permission after you withdraw from the study.

<If the participant can withdraw information collected prior to withdrawal> If you decide to leave the study, you can ask that the information that was collected about you not be used for the study.  Let the study doctor know if you choose this. Otherwise, information that was recorded before you withdrew will still be used by the researchers for the purposes of the study, but no information will be collected after you withdraw from the study.

<Studies involving tissue/blood/body fluids>
If you decide to leave the study, you have the right to request withdrawal of your {{insert types of samples as applicable to study – e.g. blood, tissue, etc}}. Let your study doctor know. Otherwise, samples collected before you withdrew will still be used by the researchers for the purposes of the study, but no information will be collected after you withdraw from the study. The sponsor will keep and use any research results obtained prior to your withdrawal of consent.
 

",,Different instructions and suggested text,Selection of Subjects -> Withdrawal,Study Design OR Description of Design OR Trial Design -> Withdrawal,,
17,Not Started,"[""Moderate mapping complexity""]",CAN PARTICIPATION IN THIS STUDY END EARLY?,N/A,Required,Identify reasons why participants may be taken off the study.,"The study doctor may stop your participation in the study early, and without your consent, for reasons such as: {{list reasons with bullet points}}

If you are removed from this study, the study doctor will discuss the reasons with you. ","The study doctor may stop your participation in the study early, and without your consent, for reasons such as: 
• The study intervention does not work for you
• You are unable to tolerate the study intervention
• You are unable to complete all required study procedures
• New information shows that the study intervention is no longer in your best interest
• The study doctor no longer feels this is the best option for you

If this happens, it may mean that you would not receive the study intervention for the full period described in this consent form. 

If you are removed from this study, the study doctor will discuss the reasons with you and plans will be made for your continued care outside of the study.  
",,Different required and suggested text,"Study Design -> ""stopping rules"" or ""discontinuation criteria"" ",Study Design OR Description of Design OR Trial Design -> Discontinuation of trial treatment,,
18,Not Started,"[""Complex mapping"",""Not in protocol - requires manual entry""]",WHAT ARE THE RISKS OR HARMS OF PARTICIPATING IN THIS STUDY? ,N/A,Required,,"You may experience side effects from participating in this study.  Some side effects are known and are listed below, but there may be other side effects that are not expected.  You should discuss these with the study doctor.  

The study doctor will watch you closely to see if you have side effects.","When possible, other medicine will be given to you to make side effects less serious and more tolerable. Many side effects go away shortly after the study intervention is stopped, but in some cases side effects can be serious, long-lasting, permanent, or may even cause death. 

<For studies using non-marketed drugs or other investigational interventions, if applicable. >
If you experience a side effect that requires treatment between regular clinic/hospital visits, it is important that you make every effort to return to the clinic/hospital where {{insert name of product/agent/device}} was given. Because {{insert name of product/agent/device}} is experimental and is only used in clinics/hospitals involved in research studies, any side effects may be best treated by these clinics/hospitals.  

If you experience a serious side effect and need immediate treatment and are unable to return to the clinic/hospital, please call 911 or go to the nearest emergency room. Then the study doctor should be contacted as soon as possible. 

 ",,"Different instructions, required and suggested text","There will be no explicit list in the protocol. Some risks may be identifiable based on context in protocol (such as Study Design OR Study Intervention OR Study table OR Table of Assessments  OR Selection of Samples/Subjects -> Study Inclusion Criteria) , but mostly will have to be filled in by study team. ","There will be no explicit list in the protocol. Some risks may be identifiable based on context in protocol (such as Study Design OR Study Intervention OR Study table OR Table of Assessments  OR Selection of Samples/Subjects -> Study Inclusion Criteria) , but mostly will have to be filled in by study team. ",,
18.1,Not Started,"[""Complex mapping"",""Potentially in protocol""]",WHAT ARE THE RISKS OR HARMS OF PARTICIPATING IN THIS STUDY? ,N/A,Required,"Nature of risks to include:  Describe all reasonably foreseeable risks, harms, or discomforts.  Include both, physical and psychological/emotional, risks as applicable to the research. A rare but serious finding from previous studies (e.g., death, severe pneumonitis, acute renal failure etc.) should be placed at the top of the list of side effects or should be bolded.  

Language:  Include lay language explanation of any side effects 

Categorization:  When detailed information about the side effect profile for the intervention is known, categorize risks by frequency.  Examples of these categories are provided below - other categorizations may be used depending on the presentation of risks in the Investigator Brochure/Product Monograph. 

Information to provide:  address frequency, severity, and long term impact or reversibility.  When applicable, specific symptoms for serious side effects of which the participant should be aware (e.g., in order to seek immediate medical assistance) should be included. 

It is not necessary to describe the risks associated with tests or procedures with which the participant population would already be familiar 

Explain the significance of a side effect if not obvious  

Include risk of receiving placebo/delayed surgery/delayed/withdrawn standard of care treatment, if applicable 

Address psychological risks such as anxiety, distress, embarrassment, or feelings of sadness that may arise from questionnaires and interviews about sensitive issues (e.g. mental health, sexuality) 

Separate side effects of each drug and procedure as appropriate 

Consider using bullets (or sub-sections, as appropriate) for each of the side effects 

List each side effect of a drug/procedure only once, provide a full description of the side effect under the same bullet, and indicate its severity, if applicable.

For Phase II and Phase III studies where previous safety data are available, the REB expects that the upper range of frequency be provided. A “greater than 10/20%” response is generally not acceptable without justification. It should be noted that the REB evaluates the presentation of the side effects on “study-by-study” basis, severity of the side effects, and their relevance to the study population.  Serious side effects that have not been clearly linked to the study drug should also be included.  

Possible treatment options of side effects should not be discussed in the consent form as, should a side effect occur, it would be treated according to the individual’s situation and might differ from the options listed in the consent form. Moreover, it may leave the impression that treatment options of side effects are part of the study intervention, while they are not. 

Should an extensive list of side effects per drug be identified, to improve readability and to increase the participant’s comprehension of the information, consider grouping side effects in a meaningful way for participants, e.g. per system, per syndrome etc.   

Presenting an extensive list of side effects in an alphabetical order is not acceptable.  

Should a standard of care drug(s)/treatment be administered as part of the study intervention, most common and most severe side effects from that standard of care intervention should be presented.  

Should an experimental combination of the drugs be administered during the study, potential side effects should be listed for each of the drugs individually. Then, under the combination, only side effects not listed for either of the drugs and/or side effects that have been seen at an increased frequency than either of the drugs administered alone should be presented. After side effects per drug are presented, the consent form should have some language indicating that “any of these side effect may occur with the combination of the drugs, some of them could be more severe, may occur in an increased frequency and new side effects, not seen with either of the drugs, may happen.”  
If a combination has been studied extensively then, e.g. at the sponsor’s request to have all side effects listed for the combination, in addition to the above, an appendix to the consent form presenting a comprehensive list of the side effects of the combination could be considered.  
If more data on a combination than on the study drugs individually are available. Then the side effects could be listed for the combination first followed by the presentation of the side effects for each drug individually presenting only side effects not listed for the combination and/or side effects that have been seen at the increased frequency with either of the drugs administered alone.  ","Risks and side effects related to the experimental intervention {{insert name of product/agent/device}} we are studying include: 
{{see instructions for what to list}}","<Suggested risk categories (may be presented in list format)>
Very likely (21% -100%): In 100 people receiving study drug, between 21 and 100 may have:  
{{list in bullet points}}

Less likely (5 – 20%): In 100 people receiving study drug, between 5 and 20 may have:  
{{list in bullet points}}

Rarely (1 – 4%): In 100 people receiving study drug, between 1 and 4 may have:  
{{list in bullet points}}

<When limited numbers of individuals have been exposed to the intervention and the risks cannot accurately be quantified, the following language should be included (if applicable)>
As of insert date, {{specify number people}} have been given this intervention and the side effects that have been reported are:  
- {{Specify number}} experienced {{specify side effect e.g., headaches}}  
- {{Specify number}} experienced {{specify side effect e.g., diarrhea}} 
It is not yet known if these side effects are caused by the study intervention or how likely these side effects will be.  

<Alternative suggested text when limited numbers of individuals have been exposed to the intervention>
{{Insert name of product/agent/device}} is in an early phase of development and so the side-effects in humans are unknown at this time. Animal studies to date show {{list using lay language}}

<If the study drug is used in combination with standard treatment, the consent should include the following>
You will receive the standard treatment for the condition you have.  An experimental {{specify intervention}} is being added?to this.  This combination may change the side effects or the effectiveness of the standard treatment.  This may mean that you experience more side effects than you would with the standard treatment alone.  It may also mean that the standard treatment does not work as expected.   
It is possible that other drugs (prescription and non-prescription drugs), vitamins, or herbals can interact with the study intervention. This can result in either the intervention not working as expected or result in severe side effects. Please check with the study team if the study drug may interfere with your medications and consult with the study team before taking any new medications. 

<If participation in this study puts the participants at increased risk of long-term effects such as cancer, include the following>
Long term effects of the {{specify test/intervention}} used in this study include an increased risk of developing {{specify long-term risk e.g., cancer.}}",,,"There will be no explicit list in the protocol. Some risks may be identifiable based on context in protocol (such as Study Design OR Study Intervention OR Study table OR Table of Assessments  OR Selection of Samples/Subjects -> Study Inclusion Criteria) , but mostly will have to be filled in by study team. ","There will be no explicit list in the protocol. Some risks may be identifiable based on context in protocol (such as Study Design OR Study Intervention OR Study table OR Table of Assessments  OR Selection of Samples/Subjects -> Study Inclusion Criteria) , but mostly will have to be filled in by study team. ",,
18.2,Not Started,"[""Complex mapping"",""Potentially in protocol""]",WHAT ARE THE RISKS OR HARMS OF PARTICIPATING IN THIS STUDY? ,Risk of study related procedures:,Required,Provide a list of all relevant risks for study-related procedures.,,"Risks of X-ray - Exposes you to doses of radiation. {{Indicate risks.}}

Risks of MRI - It is painless but noisy. If you have any metal in your body, for your safety, please tell the staff.  There is no radiation. Some people may feel a little ‘closed-in’ the MRI machine, but you will be able to speak with someone at all times and can stop the test at any time.  

Risks of MRI with Gadolinium Contrast - It is painless but noisy. If you have any metal in your body, for your safety, please tell the staff.  There is no radiation. Some people may feel a ‘closed-in’ the MR machine, but you will be able to speak with someone at all times and can stop the test at any time. Gadolinium is a contrast agent used in MRI imaging that helps to better see any abnormal tissues and see blood vessels.? Gadolinium contrast is not safe to use in people who have kidney problems.? If you have had a problem with your kidneys, please inform the study team of this problem before the procedure. There is a small risk {{quantify}} of allergic reaction with gadolinium that can include symptoms of itchiness or rash.? Rarely, a serious reaction may develop involving your kidneys leading to hardened skin lesions all over your body and stiffening of your joints. You must seek medical attention immediately if you develop any symptoms of allergic reaction. 

Risks of ECG - This test is painless, and you should not feel anything while the ECG is done.  Since the ECG machine will be connected to your body by sticky patches, like bandages, these may cause your skin to become mildly irritated.  

Risks of MUGA Scan - Exposes you to low levels of radiation with the radioactive tracer. The radioactive tracer is eliminated in approximately 24 hours.  

Risks of CT Scan - Exposes you to moderate levels of radiation.  One CT scan equals 70 chest x-rays.  

Risks of CT Scan with Contrast - Exposes you to moderate levels of radiation.  One CT scan equals 70 chest x-rays.  You may develop an allergic reaction to the dye used for the CT scan. 

Risks of a PET-CT Scan: PET-CT scans are painless but may make you feel uncomfortable. You may have an allergic reaction to the contrast agent/tracer. Please inform your study doctor if you have any history of allergic reactions to contrast agents or shellfish. Another potential risk is radiation exposure. We are exposed to approximately 1.6-1.8 mSv of background radiation per year in Canada. A single PET-CT has an average exposure of 25mSv. Since you will have {{indicate # of scans}} scans for this study, your radiation exposure will be about {{indicate #}} mSv over the course of the study. This is equivalent to approximately {{indicate # of years, e.g. 73.3 to 82.5}} years of natural background radiation. If you have concerns about the radiation you may get from a CT scan, PET scan, or any other imaging test that uses radiation, talk to your study doctor. 

Risks of a Pulmonary Function Test - You may feel short of breath and light-headed while doing the test. 

Risks of Dexa Scan - Exposes you to low levels of radiation, approximately 1/5 to 1/2 (20-50%) that of a chest x-ray.   

Risks of Blood Transfusion - Even though you will be given blood that matches your blood type, it is still possible that you may have an allergic reaction to parts of the transfused blood.  All of our blood for transfusion comes from the {{insert, e.g., Canadian Blood Services}}. They have taken great care to make sure the blood you are given is safe.  However, there is a very small risk of getting an infectious disease from a blood transfusion.  It is also possible that a new disease could be found in donor’s blood in the future.  

Risks of Blood Draw/Catheter Blood Draw - There is a possibility of pain, bruising, swelling, or infection related to giving blood.   

Risks of Skin Photography - {{Insert, if applicable, risk of breach of confidentiality.}}

Risks of Videography - {{Insert, if applicable, risk of breach of confidentiality.}}

Risks of Questionnaires – {{Outline, if applicable, sensitivity of questions.}}

Risks of Tissue Sampling - {{Risk depends on the method (e.g. aspirate, punch biopsy, incision biopsy etc.), therefore, list applicable risks.}} This procedure has risks such as {{specify risks, e.g., blood loss, pain and rarely an infection at the biopsy site}}. 

Risks of Archival Tumor Tissue Collection - There are no physical risks to you in releasing archived tumor samples for the purpose of this study since the tissue has already been obtained by a previous biopsy/surgical procedure. However, it is possible that, if your tumor tissue is released for this study, there will be insufficient tumor tissue for any possible future testing that requires tumor tissue. Please speak to the study doctor to discuss this possibility. 

Focus Group/Interview - You may become uncomfortable while discussing your experiences.  You may refuse to answer questions or leave the group/interview at any time if you experience any discomfort.   

Other Concerns:
<Depending on study design and study population there might be other concerns/risks, e.g. risks from radiation, risks to fertility etc., that vary from individual to individual and, thus, are not reflected above. The following paragraph presents an example how other concerns could be reflected in the consent form. Should it be included, it shall be adjusted appropriately to the concerns, study design, and study population. > 

If you have any questions or concerns about risks from {{insert study intervention; e.g. the radiation dose? you may receive from study procedures; whether your fertility (ability to have children) could be affected by the study intervention; whether your future treatment options could be affected by the study intervention}}, please discuss these questions and concerns with your study doctor.  ",,,"There will be no explicit list in the protocol. Some risks may be identifiable based on context in protocol (such as Study Design OR Study Intervention OR Study table OR Table of Assessments  OR Selection of Samples/Subjects -> Study Inclusion Criteria) , but mostly will have to be filled in by study team. ","There will be no explicit list in the protocol. Some risks may be identifiable based on context in protocol (such as Study Design OR Study Intervention OR Study table OR Table of Assessments  OR Selection of Samples/Subjects -> Study Inclusion Criteria) , but mostly will have to be filled in by study team. ",,
19,Not Started,"[""Not in protocol - requires manual entry""]",WHAT ARE THE REPRODUCTIVE RISKS?,N/A,"Optional, include if relevant","If the agent(s) used in the study present a real or potential risk of fetal or reproductive harm, this must be described.  Generic wording for unknown risk is included in template.


Some sponsors would like to follow pregnancy for safety reporting.  A person should not be asked to give consent to collect information about a future uncertain event at the time of consenting for the study since the circumstances surrounding the decisions could be different at that time. This is a decision that they and, possibly, their partner would want to make at that time.  Also, once they become pregnant, they are withdrawn from the study and all rights to collect information are lost. Therefore, pregnant participants must be consented to be followed. They should be re-consented using a separate consent form to give permission for their pregnancy to be followed. ",N/A - see suggested text,"The effects that {{insert name of product/agent/device}} may have on an unborn baby (fetus), eggs,  or sperm are unknown. You must not become pregnant, make your partner pregnant or donate eggs/sperm {{specify period e.g.}}, while taking {{insert name of product/agent/device}} and for {{identify post-intervention period}} after the last dose.  The study doctor will discuss family planning with you/your partner to ensure that {{you/they}} do not become pregnant or make your partner pregnant during the study. 

<If there are known interactions or contraindications with specific methods, they should be included.>

<If there is a risk of sperm mutation or teratogenic risk, include the following:>
You should discuss these risks with sexual partner of the opposite sex.

The intervention used in this study may make you unable to have children in the future. The study doctor will discuss this with you.

You must not nurse (breastfeed) a baby {{specify period e.g.}}, while taking {{insert name of product/agent/device}} and for {{identify post-intervention period}} after the last dose because the drugs used in this study might be present in breast milk and could be harmful to a baby. 

<For trials with pregnancy reporting, include the following>
If you become pregnant or make your partner pregnant {{specify period e.g}}., while taking {{insert name of product/agent/device}} and for {{identify post-intervention period}} after the last dose, you should immediately notify the study doctor.  

The study doctor will ask if you/your partner are willing to provide information about the pregnancy as part of this study. You/ your partner will be given a separate consent form to sign to give permission for the collection of information on the pregnancy.   You or your partner may choose not to give consent for the collection of this information or may withdraw consent at any time without giving a reason. 

If your pregnant partner does not provide permission for the pregnancy follow up, it will not impact your participation on the study and will not result in any penalty or affect your or your partner’s current or future health care. 
",,Not in Minimal Risk template,Quantification of risks unlikely to come from protocol,Quantification of risks unlikely to come from protocol,,
20,Not Started,"[""Not in protocol - requires manual entry""]",WHAT ARE THE BENEFITS OF PARTICIPATING IN THIS STUDY?,N/A,Required,"Inform participants of potential benefits to themselves and in general that may arise.  If there is no known benefit, ensure this is stated.",N/A - see suggested text,"<If there is no likely medical benefit to participation (e.g., phase I study), include the following>
There are no medical benefits to you for taking part in this study.

<If the benefit is known, include>
The expected benefit from taking part in this study is {{specify}}.

<If the potential benefit is unknown, include>
If you agree to take part in this study, the experimental intervention may or may not be of direct benefit to you. 

<For placebo controlled studies, include the following>
You will not benefit from the placebo used in this study.

<If applicable, include>
We hope the information learned from this study will help other people with {{specify condition}} in the future. 
",,Different suggested text,Not in protocol . Study team to modify standard text as relevant to their study. ,Not in protocol . Study team to modify standard text as relevant to their study. ,,
